Record_ID,Date,Production_Line,Product,Shift,Operator_ID,Machine_ID,Units_Produced,Defects,Rework_Units,Scrap_Units,Downtime_Hours,Root_Cause,Cost_of_Poor_Quality,Good_Units,Defect_Rate,First_Pass_Yield,Scrap_Rate,Rework_Rate
QR00064,2025-08-07,Line A,Device Beta,Night,OP022,M-103,155,5,1,4,4.01,Calibration,2948.62,150,0.03225806451612903,0.967741935483871,0.025806451612903226,0.0064516129032258064
QR00065,2025-12-26,Line D,Device Beta,Night,OP030,M-106,114,6,3,3,1.67,Assembly,2244.28,108,0.05263157894736842,0.9473684210526315,0.02631578947368421,0.02631578947368421
QR00066,2025-01-07,Line D,Device Alpha,Evening,OP016,M-106,260,11,5,6,1.35,Assembly,3758.65,249,0.04230769230769231,0.9576923076923077,0.023076923076923078,0.019230769230769232
QR00067,2025-08-03,Line D,Device Beta,Night,OP020,M-103,143,7,2,5,1.02,Assembly,2889.67,136,0.04895104895104895,0.951048951048951,0.03496503496503497,0.013986013986013986
QR00068,2025-09-18,Line A,Device Delta,Morning,OP001,M-103,106,1,0,1,1.91,Process,590.0,105,0.009433962264150943,0.9905660377358491,0.009433962264150943,0.0
QR00069,2025-09-08,Line C,Device Beta,Morning,OP022,M-104,265,5,2,3,2.09,Process,2179.3,260,0.018867924528301886,0.9811320754716981,0.011320754716981131,0.007547169811320755
QR00070,2025-12-14,Line C,Device Delta,Morning,OP022,M-104,225,6,1,5,4.25,Material,3949.92,219,0.02666666666666667,0.9733333333333334,0.022222222222222223,0.0044444444444444444
QR00071,2025-12-27,Line C,Device Beta,Morning,OP001,M-104,162,7,1,6,1.39,Calibration,4287.82,155,0.043209876543209874,0.9567901234567902,0.037037037037037035,0.006172839506172839
QR00072,2025-10-23,Line C,Device Beta,Night,OP013,M-105,108,3,1,2,2.1,Process,1414.15,105,0.027777777777777776,0.9722222222222222,0.018518518518518517,0.009259259259259259
QR00073,2025-01-30,Line C,Device Beta,Evening,OP012,M-106,190,6,2,4,0.11,Material,3422.36,184,0.031578947368421054,0.968421052631579,0.021052631578947368,0.010526315789473684
QR00074,2025-09-03,Line B,Device Alpha,Morning,OP010,M-104,244,12,4,8,3.36,Process,5151.14,232,0.04918032786885246,0.9508196721311475,0.03278688524590164,0.01639344262295082
QR00075,2025-06-02,Line D,Device Delta,Morning,OP002,M-106,222,11,2,9,0.46,Process,5742.11,211,0.04954954954954955,0.9504504504504504,0.04054054054054054,0.009009009009009009
QR00076,2025-05-12,Line D,Device Alpha,Night,OP016,M-101,260,11,3,8,1.72,Material,6772.38,249,0.04230769230769231,0.9576923076923077,0.03076923076923077,0.011538461538461539
QR00077,2025-03-17,Line C,Device Alpha,Evening,OP014,M-105,267,3,1,2,4.17,Process,1354.18,264,0.011235955056179775,0.9887640449438202,0.00749063670411985,0.003745318352059925
QR00078,2025-06-26,Line D,Device Gamma,Evening,OP005,M-101,212,8,3,5,2.28,Process,3660.94,204,0.03773584905660377,0.9622641509433962,0.02358490566037736,0.014150943396226415
QR00079,2025-05-13,Line C,Device Gamma,Evening,OP007,M-105,101,2,1,1,0.18,Material,892.68,99,0.019801980198019802,0.9801980198019802,0.009900990099009901,0.009900990099009901
QR00080,2025-02-02,Line C,Device Beta,Morning,OP012,M-102,239,9,4,5,0.65,Electrical,5155.6,230,0.03765690376569038,0.9623430962343096,0.02092050209205021,0.016736401673640166
QR00081,2025-08-06,Line D,Device Alpha,Morning,OP009,M-102,280,14,5,9,1.35,Material,7995.16,266,0.05,0.95,0.03214285714285714,0.017857142857142856
QR00082,2025-02-12,Line C,Device Gamma,Evening,OP012,M-106,125,1,0,1,3.34,Electrical,840.0,124,0.008,0.992,0.008,0.0
QR00083,2025-05-01,Line B,Device Delta,Morning,OP023,M-104,166,7,1,6,1.23,Packaging,1741.44,159,0.04216867469879518,0.9578313253012049,0.03614457831325301,0.006024096385542169
QR00084,2025-10-05,Line B,Device Alpha,Morning,OP022,M-104,102,4,1,3,1.36,Process,1866.03,98,0.0392156862745098,0.9607843137254902,0.029411764705882353,0.00980392156862745
QR00085,2025-06-13,Line D,Device Beta,Morning,OP005,M-104,172,6,2,4,0.32,Material,3334.78,166,0.03488372093023256,0.9651162790697675,0.023255813953488372,0.011627906976744186
QR00086,2025-12-12,Line C,Device Beta,Evening,OP005,M-105,111,1,0,1,1.67,Assembly,520.0,110,0.009009009009009009,0.990990990990991,0.009009009009009009,0.0
QR00087,2025-10-23,Line C,Device Beta,Morning,OP005,M-103,205,4,1,3,1.97,Assembly,1719.54,201,0.01951219512195122,0.9804878048780488,0.014634146341463415,0.004878048780487805
QR00088,2025-02-27,Line C,Device Gamma,Night,OP015,M-103,254,1,0,1,3.49,Process,590.0,253,0.003937007874015748,0.9960629921259843,0.003937007874015748,0.0
QR00089,2025-04-22,Line C,Device Alpha,Night,OP002,M-104,162,1,0,1,3.21,Packaging,260.0,161,0.006172839506172839,0.9938271604938271,0.006172839506172839,0.0
QR00090,2025-08-04,Line D,Device Delta,Morning,OP013,M-101,167,8,3,5,0.67,Material,4516.12,159,0.04790419161676647,0.9520958083832335,0.029940119760479042,0.017964071856287425
QR00091,2025-09-03,Line A,Device Gamma,Morning,OP003,M-103,240,6,2,4,0.84,Packaging,1455.87,234,0.025,0.975,0.016666666666666666,0.008333333333333333
QR00092,2025-09-26,Line B,Device Beta,Night,OP026,M-102,264,14,3,11,3.74,Calibration,7948.88,250,0.05303030303030303,0.946969696969697,0.041666666666666664,0.011363636363636364
QR00093,2025-09-02,Line C,Device Beta,Night,OP006,M-104,135,5,2,3,2.67,Material,2566.12,130,0.037037037037037035,0.9629629629629629,0.022222222222222223,0.014814814814814815
QR00094,2025-04-09,Line D,Device Beta,Morning,OP004,M-103,221,12,2,10,3.96,Electrical,8659.73,209,0.05429864253393665,0.9457013574660633,0.04524886877828054,0.00904977375565611
QR00095,2025-07-25,Line A,Device Delta,Evening,OP004,M-105,148,5,2,3,2.79,Assembly,1806.47,143,0.033783783783783786,0.9662162162162162,0.02027027027027027,0.013513513513513514
QR00096,2025-12-03,Line B,Device Delta,Morning,OP006,M-102,97,4,1,3,0.1,Electrical,2666.28,93,0.041237113402061855,0.9587628865979382,0.030927835051546393,0.010309278350515464
QR00097,2025-08-17,Line D,Device Delta,Morning,OP029,M-104,246,14,5,9,0.94,Electrical,8491.54,232,0.056910569105691054,0.943089430894309,0.036585365853658534,0.02032520325203252
QR00098,2025-11-12,Line A,Device Alpha,Night,OP026,M-105,139,3,1,2,0.78,Material,1748.62,136,0.02158273381294964,0.9784172661870504,0.014388489208633094,0.007194244604316547
QR00099,2025-05-09,Line C,Device Delta,Evening,OP005,M-104,117,3,1,2,1.78,Assembly,1235.34,114,0.02564102564102564,0.9743589743589743,0.017094017094017096,0.008547008547008548
QR00100,2025-06-26,Line C,Device Alpha,Night,OP024,M-106,119,3,1,2,4.44,Material,1666.76,116,0.025210084033613446,0.9747899159663865,0.01680672268907563,0.008403361344537815
QR00101,2025-03-19,Line B,Device Beta,Evening,OP008,M-102,191,8,2,6,1.35,Calibration,4333.55,183,0.041884816753926704,0.9581151832460733,0.031413612565445025,0.010471204188481676
QR00102,2025-04-23,Line C,Device Alpha,Night,OP023,M-105,95,2,0,2,2.12,Packaging,520.0,93,0.021052631578947368,0.9789473684210527,0.021052631578947368,0.0
QR00103,2025-12-08,Line A,Device Delta,Evening,OP010,M-103,118,4,1,3,2.81,Process,1992.41,114,0.03389830508474576,0.9661016949152542,0.025423728813559324,0.00847457627118644
QR00104,2025-11-28,Line C,Device Delta,Night,OP017,M-103,104,3,1,2,3.65,Packaging,657.95,101,0.028846153846153848,0.9711538461538461,0.019230769230769232,0.009615384615384616
QR00105,2025-07-07,Line C,Device Gamma,Morning,OP016,M-106,221,5,2,3,4.75,Process,2156.0,216,0.02262443438914027,0.9773755656108597,0.013574660633484163,0.00904977375565611
QR00106,2025-11-01,Line B,Device Gamma,Morning,OP025,M-101,103,4,1,3,1.97,Process,1913.36,99,0.038834951456310676,0.9611650485436893,0.02912621359223301,0.009708737864077669
QR00107,2025-12-31,Line B,Device Alpha,Morning,OP022,M-104,91,3,1,2,0.71,Assembly,1138.87,88,0.03296703296703297,0.967032967032967,0.02197802197802198,0.01098901098901099
QR00108,2025-09-27,Line B,Device Gamma,Morning,OP014,M-102,146,5,1,4,3.32,Material,3156.24,141,0.03424657534246575,0.9657534246575342,0.0273972602739726,0.00684931506849315
QR00109,2025-05-26,Line D,Device Gamma,Night,OP011,M-104,105,5,1,4,0.96,Electrical,3564.36,100,0.047619047619047616,0.9523809523809523,0.0380952380952381,0.009523809523809525
QR00110,2025-08-26,Line B,Device Beta,Evening,OP029,M-103,116,5,1,4,1.58,Packaging,1239.05,111,0.04310344827586207,0.9568965517241379,0.034482758620689655,0.008620689655172414
QR00111,2025-01-05,Line A,Device Gamma,Evening,OP024,M-101,171,4,2,2,3.07,Assembly,1290.1,167,0.023391812865497075,0.9766081871345029,0.011695906432748537,0.011695906432748537
QR00112,2025-06-11,Line B,Device Gamma,Evening,OP020,M-101,266,6,2,4,2.41,Process,2834.84,260,0.022556390977443608,0.9774436090225563,0.015037593984962405,0.007518796992481203
QR00113,2025-04-15,Line C,Device Gamma,Evening,OP012,M-105,221,2,1,1,1.32,Assembly,721.65,219,0.00904977375565611,0.9909502262443439,0.004524886877828055,0.004524886877828055
QR00114,2025-02-13,Line B,Device Beta,Morning,OP021,M-101,165,6,2,4,3.5,Electrical,3745.06,159,0.03636363636363636,0.9636363636363636,0.024242424242424242,0.012121212121212121
QR00115,2025-10-27,Line A,Device Delta,Morning,OP021,M-106,202,8,1,7,2.61,Assembly,3755.48,194,0.039603960396039604,0.9603960396039604,0.034653465346534656,0.0049504950495049506
QR00116,2025-12-25,Line B,Device Delta,Morning,OP009,M-102,269,10,4,6,1.0,Material,5319.2,259,0.03717472118959108,0.9628252788104089,0.022304832713754646,0.01486988847583643
QR00117,2025-04-18,Line D,Device Alpha,Morning,OP009,M-103,192,8,2,6,1.7,Calibration,4442.85,184,0.041666666666666664,0.9583333333333334,0.03125,0.010416666666666666
QR00118,2025-10-15,Line D,Device Beta,Evening,OP005,M-105,233,14,5,9,2.81,Assembly,5234.97,219,0.060085836909871244,0.9399141630901288,0.03862660944206009,0.02145922746781116
QR00119,2025-09-22,Line B,Device Gamma,Morning,OP001,M-105,147,3,1,2,1.09,Packaging,643.31,144,0.02040816326530612,0.9795918367346939,0.013605442176870748,0.006802721088435374
QR00120,2025-12-12,Line A,Device Delta,Morning,OP023,M-102,232,7,1,6,2.26,Material,4664.14,225,0.03017241379310345,0.9698275862068966,0.02586206896551724,0.004310344827586207
QR00121,2025-12-10,Line D,Device Beta,Morning,OP005,M-101,148,7,2,5,1.51,Calibration,3796.87,141,0.0472972972972973,0.9527027027027027,0.033783783783783786,0.013513513513513514
QR00122,2025-05-15,Line D,Device Delta,Evening,OP005,M-102,108,8,2,6,0.76,Assembly,3454.11,100,0.07407407407407407,0.9259259259259259,0.05555555555555555,0.018518518518518517
QR00123,2025-10-21,Line B,Device Alpha,Evening,OP001,M-101,201,8,3,5,1.42,Electrical,4689.92,193,0.03980099502487562,0.9601990049751243,0.024875621890547265,0.014925373134328358
QR00124,2025-03-23,Line B,Device Gamma,Evening,OP020,M-103,232,6,1,5,0.23,Process,3117.2,226,0.02586206896551724,0.9741379310344828,0.021551724137931036,0.004310344827586207
QR00125,2025-11-24,Line C,Device Gamma,Night,OP004,M-103,193,2,0,2,2.13,Material,1520.0,191,0.010362694300518135,0.9896373056994818,0.010362694300518135,0.0
QR00126,2025-02-18,Line D,Device Beta,Evening,OP008,M-102,150,7,3,4,1.37,Process,2729.16,143,0.04666666666666667,0.9533333333333334,0.02666666666666667,0.02
QR00127,2025-09-22,Line A,Device Alpha,Night,OP030,M-102,212,4,2,2,1.6,Calibration,1753.08,208,0.018867924528301886,0.9811320754716981,0.009433962264150943,0.009433962264150943
QR00128,2025-04-12,Line C,Device Beta,Morning,OP030,M-105,134,4,1,3,1.07,Packaging,904.16,130,0.029850746268656716,0.9701492537313433,0.022388059701492536,0.007462686567164179
QR00129,2025-11-25,Line C,Device Delta,Night,OP006,M-101,273,10,4,6,2.69,Electrical,5613.93,263,0.03663003663003663,0.9633699633699634,0.02197802197802198,0.014652014652014652
QR00130,2025-09-03,Line D,Device Gamma,Night,OP006,M-106,149,9,3,6,6.99,Process,3886.61,140,0.06040268456375839,0.9395973154362416,0.040268456375838924,0.020134228187919462
QR00131,2025-07-13,Line C,Device Delta,Morning,OP010,M-106,266,7,3,4,0.71,Calibration,3057.77,259,0.02631578947368421,0.9736842105263158,0.015037593984962405,0.011278195488721804
QR00132,2025-08-26,Line C,Device Alpha,Night,OP018,M-104,142,1,0,1,0.76,Packaging,260.0,141,0.007042253521126761,0.9929577464788732,0.007042253521126761,0.0
QR00133,2025-04-27,Line A,Device Delta,Morning,OP017,M-101,139,6,2,4,1.74,Calibration,3036.13,133,0.04316546762589928,0.9568345323741008,0.02877697841726619,0.014388489208633094
QR00134,2025-08-04,Line A,Device Delta,Morning,OP001,M-103,151,5,1,4,1.24,Process,2504.41,146,0.033112582781456956,0.9668874172185431,0.026490066225165563,0.006622516556291391
QR00135,2025-05-28,Line D,Device Beta,Evening,OP025,M-101,236,17,6,11,2.45,Electrical,9942.98,219,0.07203389830508475,0.9279661016949152,0.046610169491525424,0.025423728813559324
QR00136,2025-03-02,Line D,Device Alpha,Night,OP016,M-105,150,7,2,5,0.49,Process,3322.98,143,0.04666666666666667,0.9533333333333334,0.03333333333333333,0.013333333333333334
QR00137,2025-09-23,Line B,Device Beta,Morning,OP013,M-105,94,4,1,3,2.26,Electrical,2647.66,90,0.0425531914893617,0.9574468085106383,0.031914893617021274,0.010638297872340425
QR00138,2025-08-12,Line D,Device Alpha,Morning,OP017,M-105,210,10,4,6,2.32,Process,4029.07,200,0.047619047619047616,0.9523809523809523,0.02857142857142857,0.01904761904761905
QR00139,2025-11-12,Line C,Device Delta,Evening,OP001,M-102,244,8,2,6,0.0,Assembly,3385.74,236,0.03278688524590164,0.9672131147540983,0.02459016393442623,0.00819672131147541
QR00140,2025-02-26,Line B,Device Gamma,Morning,OP010,M-103,152,7,2,5,4.4,Assembly,2917.24,145,0.046052631578947366,0.9539473684210527,0.03289473684210526,0.013157894736842105
QR00141,2025-11-26,Line D,Device Delta,Morning,OP026,M-106,99,5,1,4,1.09,Electrical,3550.63,94,0.050505050505050504,0.9494949494949495,0.04040404040404041,0.010101010101010102
QR00142,2025-10-14,Line D,Device Alpha,Morning,OP024,M-101,261,13,2,11,1.12,Assembly,6046.8,248,0.04980842911877394,0.9501915708812261,0.0421455938697318,0.007662835249042145
QR00143,2025-12-26,Line B,Device Delta,Morning,OP022,M-104,121,4,1,3,0.27,Packaging,1017.01,117,0.03305785123966942,0.9669421487603306,0.024793388429752067,0.008264462809917356
QR00144,2025-02-28,Line D,Device Alpha,Evening,OP008,M-106,214,12,2,10,0.93,Electrical,8690.09,202,0.056074766355140186,0.9439252336448598,0.04672897196261682,0.009345794392523364
QR00145,2025-06-16,Line B,Device Beta,Evening,OP005,M-101,102,5,2,3,3.89,Assembly,1747.93,97,0.049019607843137254,0.9509803921568627,0.029411764705882353,0.0196078431372549
QR00146,2025-10-05,Line D,Device Beta,Evening,OP026,M-105,142,8,3,5,6.48,Calibration,4101.72,134,0.056338028169014086,0.9436619718309859,0.035211267605633804,0.02112676056338028
QR00147,2025-04-27,Line D,Device Beta,Evening,OP019,M-106,102,6,2,4,0.86,Assembly,2286.42,96,0.058823529411764705,0.9411764705882353,0.0392156862745098,0.0196078431372549
QR00148,2025-11-24,Line C,Device Alpha,Evening,OP003,M-105,177,1,0,1,1.86,Material,760.0,176,0.005649717514124294,0.9943502824858758,0.005649717514124294,0.0
